headline	text	category	url
PDP presidential primary 2022 winner results: Atiku win	"Atiku Abubakar don emerge presidential candidate of Peoples Democratic Party [PDP] for 2023 general election. PDP wey be Nigeria main opposition party vote on Saturday May 28 to choose di best candidate wey go be di presidential flag bearer of di party. Di Presidential Primary 2022 na part of preparation for di next year election. Na 13 aspirants, as at Saturday morning, dey contest to be di presidential candidate of di party. Former Vice President of Nigeria, Atiku Abubakar get 371 votes. Govnor of Rivers state Nyesom Wike record 237 votes Former Senate President, Bukola Saraki pull 70 votes Akwa Ibom State Governor, Emmanuel Udom score 38 votes Bauchi State Govnor, Bala Mohammed get 20 votes Former Senate President/SSG, Pius Anyim collect 14 votes Tambuwal step down from PDP presidential race for Atiku Pharmacist, Sam Ohabunwa take 1 vote Female aspirant, Olivia Tariela take 1 vote Publisher, Dele Momodu score 0 Former governor of Ekiti State, Ayo Fayose score 0 Lawyer, Charles Okwudili get 0 Few days earlier, a strong aspirant and former governor of Anambra state, Peter Obi resign from di party on Wednesday. Then on di morning of di presidential primaries, anoda aspirant Mohammad Hayat-Deen withdraw from di race. Hayat-Deen drop dis one for letter wey im address to di PDP chairman, Iyiochia Ayu on May 27, 2022. Oga Hayat-deen tok say di exercise dey obscenely monetized"", and e go against im personal principles, among oda reasons. Di party say dem don ready kampe to successfully do dia special convention and elect a presidential candidate. Di move meet di June 3 deadline wey INEC first give for all parties in di kontri to submit di names of dia candidates. I7 aspirants bin start di journey to run for di highest office for Nigeria but a few of dem no make am pass di screening stage. Na only 15 aspirants qualify to run for di platform of di party, but Peter Obi resign im PDP membership, leaving just 14. According to di PDP tok-tok pesin, Debo Olugunagba say di party dey use indirect primaries to pick di party presidential flag bearer. And dat na only elected delegates wey be one pesin per local goment plus di three ad hoc delegates from di ward congresses go vote. PDP Presidential Primary 2022 go hold for di Abuja National Stadium. For di last few months, Nigeria political space dey coloured wit plenti political activities. Different aspirants on di platform of di opposition party dey criss-cross di kontri to woo delegates to vote for dem. Dia campaign promises dey loud as dem visit di delegates dem. And some promise dem say dem go tackle di issue of security, economy, and education and oda sector of di economy. Di mix of di aspirants cut across di different geo-political zones of di kontri and thanks to di party throway di zoning arrangement. Di party publicity director, Chinwe Nnorom say di party decide not zone in order to democraticise di process to reflect popular demand. Sake of dis, some of di aspirants don form coalition to out do demselves as dem use last minute to lobby di delegates. Last minute horse trading and politicking dey also go on for different quarters for di kapital. Dis year national convention to elect dia presidential candidate But dis year, dem go doa am for Velodrome for di national stadium. According to one PDP tofficial, e say e no be di plan of di party to choose di stadium. But dat wen dem apply to FCT to use di Eagle Square, di authority turn dem down. Na sake of say dem gatz secure di place for 24 hours since di president go attend di ruling APC presidential primaries on 29 May. Na about 810 delegates go vote during dis special national convention to elect a presidential candidate. Dis delegate go cast dia vote for dia preferred appriants. Dem go issue di delegates ballot paper wit di names of di aspirants and den, dem go tick di one dem like Di candidate wit di highest vote go win di primary and dem go declare am as di party presidential flag bearer. Delegate election dey very unpredictable sake of say dis delegates fit change dia mind anytime and e no dey clear who dem go vote. According to PDP tok tok pesin, statutory delegates like govnors dem and oda principal officers no go vote. Even say National Assembly don okay make dis statutory delegates vote but di Nigerian president neva sign am to law. And so di PDP no go use statutory delegates to elect dia presidential candidates. Di FCT Police Command don deploy large number of police officers for di venue of di PDP convention. Di command for statement say sake of di convention, dem go deploy security also across di capital to ensure di protection of lives and property Di police took tok pesin, Josephine Adeh for statement say dem go put counter insurgency measure, dem go do robust stop and search for strategic point around di suburbs and those on di ground, go control di crowd dem. According to political sabi pipo wey yarn wit BBC Pidgin, di first task for any pesin wey emerge as di party candidate na to unify di party. Through di electioneering process, di party structure dey divided along several lines wey fit affect dia success ahead of di election. Political analysts claim say if di candidate no pull everibodi togeda, di party no go go far. Anoda issue wey fit affect di candidate na finance, since di PDP leave power, moni to run di party and drive campaign na big case. Di candidate gatz get moni and unite party pipo togeda to fund dia campaign if not, moni fit serve as barrier to di candidate. also di larger scene, Nigeria for years now don dey face plenti security and economic wahala, di candate also gatz try fix those wahala if di person want nigerians to support am. Di need to also fix di power sector go be anoda major area to focus on if di candidate wan make di kontri beta."	NIGERIA	https://www.bbc.com/pidgin/tori-61598228
Stampede in Port Harcourt: Governor Wike order probe into incident wey kill 31 for Kings Assembly special charity programme	"Rivers state goment don order probe panel to investigate wetin cause di stampede for Polo Club Port Harcourt, Rivers state for Southern Nigeria wey cause di deaths of many pipo. Govnor Nyesom Wike through im media aide, Kelvin Ebiri tell sorry to families wey loose dia pesin and those wey dey injured for di incident. Di incident happun for Kings Assembly church charity programme 'Shop for Free' wey dem dey do to share food and oda tins. Rivers State Police Command tok tok pesin DSP Grace Iringe-Koko confam di tori to BBC Pidgin, she say 31 pesins die for di stampede. BBC Pidgin gada from eye witnesses say di programme suppose start by 9am on Saturday but plenti pipo begin gada since Friday evening dey wait for di venue of di event and by early morning 6am dem rush inside wen some pipo wey dey do sports for di open di small gate wey come result to stampede. Dem don deposit some of di deadibody for Military mortuary while those wey dey injured dey received treatment. Dis edition of di 'Shop for Free' programme of The Kings Assembly suppose be di fourth one. Di programme na outreach of di church wey dey give out free food and oda tins wey pipo need like clothes, shoes, household items as well as free medical checks and sharing di gospel. The Kings Assembly, di church wey organise di programme say dem dey work with di Police authorities to find out wetin really cause di stampede. For statement wey di Director of Administration, Chimeka Elem sign, dem say dem dey sad about di unfortunate incident wey happun for di programme wey dem intend to help and share gifts to di less privileged. E explain say di 'Shop for Free' programme start for 2014 and dem dey always take safety of dia congregation seriously, but for dis year own, dem choose di Polo Club sake of di large crowd dem expect but dem no expect wetin happun because di crowd gada overnight long before di security teams dem get for di event take dia place. Elem say dia medical team and volunteers dey work with personnel of di Military Hospital to treat those wey dey injured even as dem dey review dia Public safety protocol and advance crowd management procedures to make sure say dia events go dey safe. E add say any further details of developments dem go share with di public even as dem dey trace and engage with families wey dey affected. One eye witness wey see as e happen korokoro say she don benefit from di ""Shop for free' outreach programme wen di church, The Kings Assembly organise last year for dia church premises. She say she hear announcement of di programme for radio na im make she come to come benefit too but wen she come she see a huge crowd of pipo. ""I come here as early as 5am but pipo don full evriwia dey wait. Di crowd full and dem dey tell di gatemen dem to open di gate but dem no gree. Around dat 6am na im dem come open di small gate wey make pipo to push as dem dey rush enter so pipo come fall and anoda peson fall unto anoda pesin na so do stampede happen."" She tok. She say some victims die on di spot while di church call ambulance wey odas go di nearby Military hospital and some dey critical condition. "	NIGERIA	https://www.bbc.com/pidgin/world-61614803
Delegate meaning: Who be Party delegates and how dem dey pick dem?	"Dis period na wen political party delegates dey shine sake of dia importance in electing candidates wey go represent dia party for di 2023 general elections. In di build-up to di primaries and convention of di two main political parties for Nigeria, di Peoples' Democratic Parties, PDP, di All Progressives Congress, reports of how aspirants meet wit delegates to seek dia support for di process full ground. Di new Electoral Act allow political parties to adopt different ways to elect dia flagbearers - Direct, indirect and consensus mode of primaries. Experts including Inec advise parties to adopt consensus mode to avoid wahala. Di two main parties meanwhile, decide to use indirect primary wey allow delegates to vote for primaries. Section 84 (8) of di act say ""A political party wey adopt di system of indirect primaries for di choice of dia candidate go clearly outline dia constitution and rules di procedure for di democratic election of delegates to vote for di convention, congress or meeting."" Sake of say di parties dem decide to adopt indirect primaries wey leave am for delegates to vote for di just concluded primaries, dia role and importance for di electoral process come up and questions like who dem be, and wetin dia role be come up. Jikume Bethlehem wey be PDP ward delegate tell BBC Pidgin say party delegates na registered members of di party wey oda members elect so dem go fit cast dia votes for aspirants during primary elections. Na pesin wey get highest number of votes for di primary election go represent di party for different elective positions. According to di politician, di same pesin no fit be delegate twice except dem elect am again ahead of anoda general elections. ""Becos you be delegate today no mean say you go be delegate tomorrow except say dem elect you again. Dis na sake of say na democratic process whereby party members elect who go vote dia own candidate,"" di politician tok. Bethlehem say na different delegates dey and dem include ward delegate and national delegates. Delegates na card carrying members of parties and dem dey emerge through election for dia parties. Barrister Maliki Quliya wey be PDP national delegate also shook mouth for di mata. ""Delegates na party members wey oda party members elect through democratic process to represent dem to choose who go fly di flag of di party, "" Barrister Quliya tok. Im tok say each national delegate come from di 774 local goment of Nigeria. Na dis delegate dey elect party presidential candidate. Meanwhile, Madam Bethlehem say na three pipo per ward across di kontri dey emerge as ward delegates and one pesin per local goment across di kontri dey emerge as national delegates. Di ward delegates na dem dey vote candidates for di House of Assembly, House of Representatives, Senate and governorship. But di national delegates dem dey vote presidential candidate. Di zonal vice chairman of PDP Kano North, Hashimu Sulaiman, tell BBC Pidgin say for national delegate, im party get two or three pipo from each local goment wey go seek election as delegate and only one of dem go emerge to represent dia local goment. ""We call for congresses and dey elect one from each local goment,"" Sulaiman tok. E say na 44 national delegates Kano produce sake of say na 44 local goments di state get, and all di delegates go Abuja for di PDP primaries. Sulaiman also shook mouth ontop tori wey dey circulate ontop social media about delegates wey collect money before primaries. E tok say some of di tori dey true and some na fake news. Sulaiman tok say delegates dey organised for Kano and dem get leadership, and na dat leadership go decide who dem go vote. On Saturday, di PDP delegates wey party members elect from local goment across di kontri vote Atiku Abubakar as dia presidential candidate for di 2023 general elections. Na 13 aspirants, contest to be di presidential candidate of di party. Former Vice President of Nigeria, Atiku Abubakar get 371 votes. Govnor of Rivers state Nyesom Wike record 237 votes Former Senate President, Bukola Saraki pull 70 votes Akwa Ibom State Governor, Emmanuel Udom score 38 votes Bauchi State Govnor, Bala Mohammed get 20 votes Former Senate President/SSG, Pius Anyim collect 14 votes Tambuwal step down from PDP presidential race for Atiku Pharmacist, Sam Ohabunwa take 1 vote Female aspirant, Olivia Tariela take 1 vote Publisher, Dele Momodu score 0 Former governor of Ekiti State, Ayo Fayose score 0 Lawyer, Charles Okwudili get 0"	NIGERIA	https://www.bbc.com/pidgin/tori-61630252
Asup strike update: Polytechnic lecturers go resume May 30th - See wetin fit happun next	Di National President of Academic Staff Union of Polytechnic, ASUP, Dr. Anderson Ezeibe say polytechnic lecturers go resume work on Monday May 30. Oga Anderson tell BBC Pidgin say di resumption na sake of say dia two-week strike don end today. Mr Ezeibe confam say goment don meet four out of dia demands during di two weeks wey dem dey strike. Goment don dey pay dem dia minimum wage arrears wey dem owe polytechnic lecturers and dey also act on di provisions of di Federal Polytechnics Act wey dem amend for 2019. Mr Ezeibe also say di issue of victimisation of some Union Officers wey chop sack don also dey addressed. On wetin go happun next, e say wen dem resume, di National Executive Council go meet for June to do tok-tok on wetin dey next. Di Academic Staff Union of Polytechnics bin start dia warning strike on di 16th of May, 2022 to last till on di 30th of May, 2022. Ezeibe wey announce di strike den say di union lock up di polytechnics to demand dia revitalization funds wey goment promise dem but neva pay shi shi, renegotiate dia condition of service and also di issue of dia minimum wage. Di Academic Staff Union of Polytechnics bin go strike sake to press home dia demands wey include issue around non release of di 15 billion revitalization fund for di sector 11 months afta President Muhammadu Buhari give approval. Odas na: Meanwhile, di Academic Staff Union Of Universities, ASUU still dey on strike. Nigeria Minister of Labour, Employment and Productivity Chris Ngige for im meeting wit ASUU and oda university-based unions for May, beg dem to suspend dia strike. Minister Chris Ngige make di appeal as e yarn tori pipo for Abuja di Nigerian capital on top di lingering strike. E say goment don begin pay di areas of minimum wage of university and polytechnic lecturers dem across di kontri. Universities don dey under lock and key since February 14. Di striking lecturers go strike on top dia revitalization moni, dia welfare and di implementation of dia 2009 agreement wit goment. Ngige say goment go spend 34 billion naira on top di minimum wage areas moni wey dem go begin pay lecturers for universities and polytechnics.	NIGERIA	https://www.bbc.com/pidgin/tori-61623359
Telecoms tax: Nigeria new tax on phone calls explainer	"Nigerians go soon begin pay ""telecoms tax"", dis na tax on top phone calls wey pipo dey make. Di telecommunications tax dey inside di National Health Insurance bill 2021 wey don become law. President Muhammadu Buhari just sign am into Law last week. Nigerian Communications Commission tell BBC Pidgin say dem still dey torchlight di Law. So how e go affect you? Na di full explanation dey inside dis tori. Di tax na part of goment way to raise money to fund di health insurance scheme of di kontri. Di money wey go come out from di deductions dey go di Vulnerable Group Fund, as part of health care reforms. Vulnerable Group Fund be money wey Buhari goment set up for Nigerians wey dey weak and helpless alias poor. Na under Section 26 subsection 1 (C) of di act di provision dey - e say goment go take one kobo per second of evri telephone call. Dis mean say, for example, if your telephone service provider dey charge 11kobo per second, evri one kobo na charge for health care levy. ""Di source of money for di Vulnerable group fund include basic health care provision to di authority, health insurance levy... ""...telecommunications tax, not less dan one kobo per second of GSM calls."" di act tok for wetin BBC Pidgin don see. E neva clear if di Law don already take effect as president Buhari don sign am. Nigerians also neva begin tok weda dem don dey see di effect of di deductions for dia telephone calls. Ikechukwu Adile, NCC Head of Corporate Affairs say di agency still dey study di di new act wey dey dia table. ""We still dey look di Law and we go make statement to Nigerians wen we dey ready,"" e tok. Tax on telephone calls go affect mostly poor Nigerians wey dey struggle already, na so one sabi pesin tok. Hamzat Lawal, founder of Follow the money, say citizens no dey feel di impact of di oda taxes wey dem dey pay since. E say: ""No tax dey healthy or unhealthy because e dey help citizens support goment to build public-use infrastructure."" ""As well as transform different sectors like health and education."" Lawal also say Nigerians no dey benefit from di tax dem dey pay already. ""Reports say teleco operators dey complain about di policy wey mandate citizens to pay extra 5% on phone calls go make tins harder on citizens. ""Wit di current devaluation of di naira and inflation, pesin fit argue say na bad timing to further burden di population"" ""Especially wen little or no tangible results dey for all taxes citizens dey pay."" Hamzat Lawal say as long as paying tax no contribute to community needs, every citizen, including less privileged go dey seriously affected."	NIGERIA	https://www.bbc.com/pidgin/tori-61576453
PDP Presidential Primaries 2022: Atiku Abubakar get Peoples Democratic Party ticket but e go fit win di 2023 elections?	"Former Nigeria Vice President Atiku Abubakar don win di main opposition party of Nigeria, Di Peoples Democratic Party, PDP, dia presidential ticket to represent di party for di 2023 elections. Atiku get 371 votes to defeat di oda aspirants dem and im closest challenger, Govnor of Rivers state, Nyesom Wike wey get 237 votes. Atiku for im acceptance speech say im go make sure say unity dey for Nigeria and give all citizens sense of belonging irrespective of wia dem come from or di religion dem dey practice. E also tok say im go deal decisively wit di kontri security, economic challenge wey dey face di kontri. Meanwhile di APC national leader and presidential aspirant Bola Tinubu don congratulate Atiku on im victory. For im own message say: ""I welcome di victory of Alhaji Atiku Abubakar as di candidate of di Peoples Democratic Party for di just concluded primary. I look forward to square up wit am as one worthy opponent for di coming election, e add for statement. Ogbonge Nigerians don dey drop dia congratulations for Atiku Abubakar domot. Govnor Duoye Diri of Bayelsa state for im facebook page say, ""I congratulate Alhaji Atiku Abubakar on im emergence as presidential flag bearer of our party PDP, afta our succesful primaries"". Also Governor Godwin Obaseki for inside statement, say ""I heartily congratulate his Excellency, Atiku Abubakar (GCON) on im victory for di Peoples Democratic Party Presidential primary election. E add say, ""di keenly contested process of picking flagbearer for our great party don again show say PDP as party wey don enthrone one transparent internal democratic process be wetin our nation now desperately need for im much -desired rebirth"". Atiku Abubakar no be visitor for di contest for Nigeria president. seat as im don try im luck five times before now but e no win. But recently for one interview, di former vice president wey bin serve wit Former President Olusegun Obasanjo dat time say im get hope say e go win di presidential race come 2023. Di reason wey im give be say e bin contest Adamawa governor seat four times bifo im win di fourth time. For 1993, e bin contest for di Social Democratic Party presidential primaries and lost to Moshood Abiola and Baba Gana Kingibe. Oga Atiku be contest for president under Action Congress for 2007 wia e lost to Umaru Yar'Adua of PDP . For 2011 oga Atiku bin contest di presidential election wit former President Goodluck Jonathan but e loose. For 2014, e join di All Progressives Congress to participate for 2015 presidential election but e bin loose to Muhammadu Buhari for primaries. For 2017, oga Atiku bin return to di Peoples Democratic Party. For 2019, Atiku bin run di presidential race as PDP candidate and loose to President Muhammadu Buhari wey contest under di All Progressives Congress. Meanwhile, na afta e fail three times, na im President Buhari too finally realise im dream on im fourth try to become di president of di Federal Republic of Nigeria. As di race for who go become Nigeria president for 2023 continue, Nigerians still dey wait di ruling All Progressives Congress party, APC, to run dia presidential primary election so dem go fit sabi who be di pesin wey go dey di race for dem. Among di aspirants for APC na di party National Leader, Bola Tinubu, Nigeria Vice President Yemi Osinbajo and di Minister of Transportation Rotimi Amechi among odas. Peter Obi na anoda pesin wey go stand as ogbonge opposition for im ambition if e become di presidential flagbearer for di Labour Party afta e defect from PDP. Dis na di sixth time former vice-president Atiku Abubakar dey try im luck to be Nigeria president. Im come from Adamawa state, Northeast Nigeria. Atiku na businessman and politician. E contest to be govnor of Adamawa state two times. First, for 1990 and di second time na for 1998 before im become vice presidential candidate for 1999. For 1993, im contest di presidential position for Social Democratic Party presidential primaries wia im lose to Moshood Abiola and Baba Gana Kingibe. At 74, Atiku Abubakar still believe say im deserve di opportunity to rule Nigeria. Of all di aspirants from di PDP, Atiku na di oldest of di candidates and many pipo bin tok say im no get fresh ideas for di kontri. But Atiku get experience as one of di politicians wey bring PDP come for 1999. Even though im comot to join di opposition, like prodigal pikin im return to PDP. During im declaration, Atiku say if im win im go focus on five key areas of unity of Nigeria, security, economy, education and to carry resources and powers give federating units."	NIGERIA	https://www.bbc.com/pidgin/tori-61620043
Methodist church Prelate Samuel Kanu kidnapped: Police say dem don launch manhunt to rescue di clerics gunmen abduct for Abia state	"Some armed men kidnap di head of di Methodist Church for Nigeria, Samuel Kanu, on Sunday for Abia state, south-east Nigeria, alongside two oda clerics. Police for di state say dem don launch manhunt to rescue di priests. For Nigeria, di Methodist Church na one of di established evangelical churches. Separatist groups don dey active for di south-east region wia dem don dey agitate for a breakaway state from Nigeria. Di Police Public Relations Officer for di state, Geoffrey Ogbonna, confam give local tori pipo Channels on Sunday for Umuahia, di state capital say dem abduct di clergyman alongside two odas - Di Bishop of Methodist Church, Owerri Diocese, and di prelate chaplain. Ogbonna explain say dem kidnap dem at about 2pm on dia way from one church event for Okigwe (Imo State) to Isuochi for Umu Nneochi Local Government Area of Abia State. Di command tok-tok pesin describe di abduction of di clergymen as unfortunate but give assurance say police don already dey make efforts to ensure dia safe return. Im also appeal to pipo of di state to provide di police wit any useful informate wey fit lead to di release of di prelate and di two odas, plus di arrest of di kidnappers. ""We don mobilise all di tactical teams to make sure say we rescue dem and for possible arrest of di hoodlums,"" Ogbonna tok. Recently, some armed men kill one member of Anambra State House of Assembly, Okechukwu Okoye. Kidnappers bin gbab di lawmaker, wey dey popularly known as ""Okey Di Okay"" on di 15th May, 2022. E happun, along Aguluzigbo Umiona, Aguata LGA, according wetin police confam to BBC Pidgin. Until im unfortunate kidnap and death, Okoye bin dey represent di Aguata II constituency. Di recent kidnapping and killing for di South East don raise concerns across di kontri. Early for May, gunmen kill Private Gloria Mathew, her fianc Linus Musa Audu (retired), and two oda pipo for Imo state. Di woman sister Obiageli (not her real name) don explain wetin really happun on dat fateful day for Orlu axis of Imo State, southeast Nigeria. Obiageli tell BBC say e dey painful to di family say pipo tok say wetin happun to her sister no really happun. Di woman tok say wetin di family want be say make her sister soul no rest until pipo wey kill am face di wrath of di law."	NIGERIA	https://www.bbc.com/pidgin/tori-61632459
Oluwaseun Opaleke: Meet di 15-year-old nail technician wey dey ginger women wit im work	"Okpaleke Oluwaseun na well rounded beautician. For im own words, e fit do anything wey go make woman to dey beautiful. Im specialise for nails fixing and e yan us di tori of how di journey start. According to am, di nails e dey do no dey affect im school work even though e dey spend most of im time for shop. Oluwaseun tell BBC Pidgin say na im mama ginger am for fixing of nails. E say, ""my mama na hairdresser and nail technician. I dey watch how she dey do am and e spark my love sake of how she dey run am and di kain money she dey make"". Oluwaseun start to dey learn how to dey fix nails from the age of 12 years old with no beta training, just by watching im mama. Oluwaseun say, ""my major motivation to learn dis kain work na di money wey I dey make from inside. I dey make money from fixing nails take pay my school fees"". My plan for dis nail technician work be say as I get dis knowledge, I come add am with barbing salon so e go be unisex. When Oluwaseun start to dey work with nails, pipo bin no too sure of im capabilities for im mama shop until e gets show im sef. E say, ""wen I dey start, some pipo go tell me say you dis small boy, dey do nails? I go come tell dem say, at least make I do am make you see."" Oluwaseun add say, ""if pesin come my mummy shop come do nails and dem see me and start to dey fear, I dey tell dem say if dem no like di nails, make dem no pay"". ""Afta two or three customers wey I fix nails for, na im I build my rep. Dem go even dey hail me say di nails wey I do for dem, e dey last."", na how e claim say e start to get profit from im work. Oluwaseun add say, ""my teachers and my friends no go believe say I sabi do nails, unless dem see am"". Oluwaseun reveal say friends for school dey call am names like ""Boygirl, Aunty Seun"" because of im work. But e get way to take cancel haters, ""everybody get plan for life, dis na my own make I focus on am"" Oluwaseun specialise for nails and lashes and sabi do powder nails, acrylic, glass nail and any kain design of nails. E say im customers dey dash am money for im work even afta dem pay im mama for di nails. ""Wen I finish to do dia nails, some customers dey dash me money at once while odds go promise me money"", na how Oluwaseun say im customers dey take appreciate im craft. E say powder nails na di nails wey hard am pass to learn. ""Wen I bin dey learn to do powder nails, e hard me well as I dey waste di tin but I still grab am."" Now, powder nails na im be im favourite to do as e fit last for hand reach one month sef. Oluwaseun reveal say all im brothers sabi fix nails and dem go decide whether na to make am dia business. But im don make up im mind say e go dey part of im work, e tok dis one even as e dey hail im mama, wey teach am nails ova di way she dey do her own nails. Anode ginger way im get na di joy im customers dey feel afta im fix dia nails. E say, ""Wen I finish customer nails and dem like am, I dey feel very happy say I sabi dis work. Cos na small by small I take master wetin I know."" Im reveal say sometimes e dey use im sisters, brothers and even customers nails take practice until im perfect am. Afta all, ""nothing wey woman fit do, wey man no fit do"". E remember di time wey woman bin dey learn barbing with am and na dat time e decide say e go focus for im nail work. "	NIGERIA	https://www.bbc.com/pidgin/tori-61629584
Nigeria's kidnapping crisis: Dem suppose ban ransom payments?	"As pesin wey don pay ransom three times to comot im family for kidnapper hand, Nigerian businessman Lawal Ado no too happy with moves to ban payment to kidnappers, One controversial bill to criminalise ransom payments na di latest attempt to reduce di kidnapping business wey dey boom for di kontri. Di proposal na to jail any pesin wey pay for up to 15 years. Oga Ado say im two daughters bin dey drive with police convoy for Buruku road, Kaduna state, wey dey notorious for criminal gang, wen dem kidnap dem for December. Dem dey kidnappers hand for 15 weeks until im pay 10m naira ($24,000, 19,000) in cash, na wetin e tell BBC. Few years later, dem kidnap im wife from im house for Kaduna city and na 700,000 naira make dem release am. Dem kidnap im mama when she dey go her village also for Kaduna state and na with 300,000 naira, di kidnappers take free am. Oga Ado tok say wen you see say men wey carry gun dey threaten di lives of your loved ones, you no get choice but to drop money. Lawmakers wan ban ransom only because ""dem neva get family member wey dem kidnap"", na wetin im add. But lawmakers dey argue say dat kai payments na im dey ginger di kidnap industry wia criminal gangs go just tiff pipo and ask for anytin from $50 to $1m. Since 2011, kidnappers don make at least $18m, with almost half of di money, na between 2016 and 2020 dem make am. Dis na wetin SBM Intelligence wey be think-tank for Lagos dey report. Detective superintendent Eguaoje Funmilayo from Federal Criminal Investigations Department (FCID) say families dey fear to involve police and go just pay ransom instead, wey be something wey police no dey ike make pipo do. For rare sucess, police announce say dem gbab two alleged oga wey organize di kidnap of some university students wey dia parents bin cough out 200m naira so dem go free dem, earlier dis month. Senator Ezenwa Onyewuchi - wey propose di bill say kidnapping don turn, ""di most deadly kind of banditry for Nigeria, e don become di most common and uncontrollable crime for di kontri."" Di bill don pass upper chamber and go now enta lower house. No place dey safe from kidnap gangs but dem plenti pass for Northern Nigeria. Ova di years dem don target airports, railways, military barracks and religious places Families of pipo wey dem kidnap dey most times sell property, collect loan from bank and crowdfund so dem go fit raise ransom. Di victims wey no pay ransom sometines dey killed, tori dey sat dem dey comot dia human organs carry sell. Usman Mbaekwe, wey spend five days for forest for southern Nigeria afta dem attack di bus im dey inside say, security forces no even try at all to save am. Dem free am afta im wife raise 1m naira ( 2,000, $2,400). For tori wey be like dem tiff am from Nollywood feem, dem carry di pipo wey gt di cash for road wey lead from Lagos to Sapele, inside di Niger Delta, wey dem tell dem to drop di money for side of road, na wetin im tok. Kontris like US and UK no dey pay ransom to kidnappers, say di best way to stop kidnapping na to stop di ginger. But for kontris like France, Germany, Spain and Italy, tori be say dem don pay millions of dollars to free dia citizens wey African jaguda pipo hold or elsewhere. Tori be say even Nigerian federal goment don drop correct money give kidnappers before, like give Boko Haram so dem go free some of di Chibok girls dem kidnap for 2014, as Kastina sef drop money for di di release of schoolboys dem kidnap for 2020. More recently, na di attack for di Abuja-Kaduna train for March. At least eight pipo die and tori be say 60 pipo dey di gunmen hand. Di kidnappers no ask for ransom but dey ask oda tins from goment, wey dey boost tok say to stop ransom no go end kidnapping. Imran Rufai wey im broda dey train attacker hand say ""payment of ransom no be di problem, na kidnapping"" Zara Aliyu, wey also get train kidnapped broda, gree say, ""you only fit pass dat kain bill if beta security dey"". E no clear weda President Muhammadu Buhari support di bill, but e don tok against ransom payment last year. E say, make state goment review dia policy wey det ""reward bandits with money and vehicles"", as im ask for patience to handle di kasala. Oga Buhari say, ""we get capacity to move ogbonge force for bandits for di village wey dem dey operate, but na fear of heavy casualties of innocent villagers and hostages dey hold us""."	NIGERIA	https://www.bbc.com/pidgin/tori-61587496
Peter Obi joins Labour Party: Di former Anambra state govnor confam im defection for Twitter	"Peter Obi wey be former govnor of Anambra State and presidential aspirant under di People's Democratic Party before im dump dem don tok say e don join Labour Party now. E announce im new political party ontop social media Twitter as e explain why e join di Labour party. Di Economist tok say since e resign from PDP sake of issues wey no agree wit im person and principles, Im consult widely wit various parties and personalities to ensure say dem no complicate di route to di desired destination. Di former Anambra State govnor announce im resignation from di main opposition party for Nigeria, PDP on Wednesday, Di Economist tok say since e resign from PDP sake of issues wey no agree wit im person and principles, im consult widely wit various parties and personalities to ensure say dem no complicate di route to di desired destination. ""For me, di process of achieving our goal dey fundamental as wetin pesin go do afta. Therefore, I don chose road wey I consider to be in line wit our aspirations and my mantra of taking di kontri from consumption to production; and dat na Labour Party wey dey synonymous wit di pipo, workers, development, production, securing and uniting Nigerians as one family"" e tok. Di resignation of Peter Obi from PDP bin happun some days to di national convention of di party. PDP fix 28 and 29 May as day for dia presidential primary. Na 15 aspirants show interest to participate for di primaries before Oga Obi comot - dis mean say na 14 aspirants remain Di aspirants na; Atiku Abubakar, Bukola Saraki, Sam Ohabunwa, Aminu Tambuwal, Nyesom Wike, Bala Mohammed and Ayo Fayose. Odas na; Anyim Pius Ayim, Emmanuel Udom, Dele Momodu, Mohammed Hayatu-Deen, among odas. Peter Obi na politician and businessman. Im na former govnor of Anambra state for southeast Nigeria. E serve two term between 2008 to 2016. Oga Obi bin dey All Progressive Grand Alliance (Apga) before e join PDP for 2017. Im also be sabi pesin for wetin concern economy matter. For 2019, e come out as vice presidential candidate of Atiku Abubakar. But dis year 2022, e don decide to go for di president position. Peter Obi say im administration as president go create jobs, boost Nigeria economy, and improve education."	NIGERIA	https://www.bbc.com/pidgin/tori-61613629
