15800000	774000000	"activate"
1320000	857000000	"turn on"
736000	12300000	"push start"
599000	3590000	"get clothes"
273000	21500000	"load washer"
257000	34900000	"change settings"
215000	4890000	"dry clothes"
122000	12500000	"select program"
112000	16500000	"close door"
74100	6550000	"wash laundry"
52200	4300	"fold laudry"
44400	1720000	"close lid"
33000	1230000	"close drawer"
31400	916000	"fold clothes"
28500	1200000	"dry laundry"
25100	3790000	"wait 1 hour"
22700	5280000	"go to step 5"
20500	1890000	"add soap"
19400	1250000	"get laundry"
19200	2230000	"wash items"
15200	908000	"add detergent"
13900	1120000	"sort laundry"
12100	66100	"start the water running"
11600	1420000	"collect clothes"
9420	1100000	"add clothing"
7320	1170000	"need washing machine"
5870	614000	"add laundry"
5420	669000	"turn on machine"
5300	138000	"put in clothes"
4920	446000	"start washer"
4740	263000	"fill washer"
4470	169000	"open washer"
4250	89500	"put in laundry"
3450	126000	"close washer"
3430	78500	"process laundry"
2830	121000	"run washer"
2790	129000	"set the washing machine"
2770	322000	"put laundry away"
2270	1130000	"get dirty clothes"
2240	263000	"open washing machine"
2090	37700	"put clothes in dryer"
2080	39500	"turn the washing machine on"
1980	551000	"put clothes away"
1860	82100000	"go to the laundry room"
1850	25100	"close washing machine"
1740	30000	"put liquid detergent"
1640	7390000	"turn on the washer"
1590	18800	"put in detergent"
1590	166000	"pick up dirty laundry"
1560	50700	"add laundry detergent"
1530	676000	"start wash cycle"
1210	8190	"turn on washing machine"
1160	1220000	"start washing machine"
1140	58700	"turn on dryer"
1010	18100	"collect dirty clothes"
949	7070	"insert detergent"
841	223000	"put clothes in washer"
836	10900	"separate clothes by color"
761	93600	"turn dryer on"
593	42600	"turn on washer"
428	16900	"separate lights from darks"
413	1070	"add the dirty clothes"
373	14600	"move to dryer"
355	11800	"gather dirty laundry"
292	12100	"run wash cycle"
221	10500	"let clothes dry"
204	17100	"find dirty clothes"
193	113000	"choose water temperature"
177	52400	"find dirty laundry"
159	12800	"gather dirty clothes"
48	1860	"put wet clothes in dryer"
48	1510	"put soap in washer"
42	2880	"select washing program"
37	3040	"find a laundry tub"
37	1640	"need dirty clothes"
37	1560	"put detergent in washer"
32	57	"fill the laundry tub with warm water"
26	68	"separate the laundry by color"
26	3080	"gather dirty clothing"
26	2030	"put clothes into washer"
21	421	"pour out detergent"
21	2220	"gather the dirty laundry"
21	14400	"gather the dirty clothes"
21	13600	"put clothes in washing machine"
19	4610	"add soap and bleach"
18	433	"seperate colours from whites"
18	4250	"put dirty clothes in basket"
16	56	"place laundry in washer"
16	265	"choose cycle length"
16	2010	"put in laundry machine"
16	1920	"put laundry inside"
16	117	"check pockets for change"
16	1010	"separate laundry into piles"
16	0	"wait for wash cycle to finish"
16	0	"take clothes to washing machine"
10	86	"add cloth softener"
10	718	"put dirty clothes in washer"
10	2800	"put clothes in machine"
10	1210	"turn laundry on"
5	175	"choose dirty laundry"
5	0	"when finished put clothes in dryer"
5	0	"separate the laundry by type"
5	0	"place clothing in washing machine"
5	0	"open powder drawer"
5	0	"choose washer settings"
5	0	"add laundry soap to washing machine"
0	76	"sort clothes by colours"
0	0	"when washing machine is done take out clothes"
0	0	"when dryer is done take out clothes"
0	0	"when dryer finished fold clothes"
0	0	"wash towels on hot and other clothes on cold"
0	0	"wait for dryer to finish and get clothes"
0	0	"wait for cloths to wash  remove"
0	0	"take dirty laundry to washing machine"
0	0	"set washing machine to desired setting"
0	0	"set program and turn on washing machine"
0	0	"scrub a piece of clothing in the tub until it is clean"
0	0	"run dryer cycle"
0	0	"rotate 'wash cycle' knob to start"
0	0	"repeat until all clothes are clean"
0	0	"remove clothes from washer and hang to dry"
0	0	"put proper amount of detergent into washer"
0	0	"put items in dryer or clothes line"
0	0	"put in required powder amount"
0	0	"put clothes into washer close lid"
0	0	"put clothes in washer or sink/tub"
0	0	"put a group in the washer"
0	0	"press button on washing machine to start the wash cycle"
0	0	"pour some laundry soap in the washing machine"
0	0	"pour one-half cup of deterget into washing machine"
0	0	"pour 1 measure of powder/liquid soap into washing machine"
0	0	"place soiled clothes in washing machine"
0	0	"place laundry into washer"
0	0	"place dirty laundry in washing machine"
0	0	"place dirty clothes in washing machine"
0	0	"place detergent in washing machine"
0	0	"place clothes into washing machine"
0	0	"pick the dirt clothes"
0	0	"move to dryer after wash is completed"
0	0	"move clothes from washer to dryer when done"
0	0	"move clothes from laundry hamper to inside the washing machine"
0	0	"mix laundry soap into the water"
0	0	"insert laundry in washing machine"
0	0	"gather laundry in basket"
0	0	"find clothes washing machine"
0	0	"fill washing machine with dirty clothes"
0	0	"empty dryer when done"
0	0	"do not wash white clothes with colored clothes"
0	0	"close washing machine lid"
0	0	"close the  cover of the washing machine"
0	0	"after washed hang clothes to dry"
